Sector,ID,Departamento,Distrito ,Nombre Institucion,1º Grado,2º Grado,3º Grado,4º Grado,5º Grado,6º Grado,latitud aproximada,longitud aproximada
Oficial,11,Central,San Lorenzo,	ESCUELA BÁSICA N° 23 ESPAÑA,144,180,174,186,202,220,"25º20'23.293""S","57º30'42.298""W"
Oficial,10,Alto Paraná,Ciudad del Este,CENTRO REGIONAL DE EDUCACIÓN DOCTOR JOSÉ GASPAR RODRÍGUEZ DE FRANCIA,173,180,176,183,190,198,"25º31'19.741""S","54º36'41.983""W"
Oficial,11,Central,Ñemby,ESCUELA BÁSICA N° 25 CARLOS ANTONIO LÓPEZ,170,177,165,162,185,177,"25º23'41.53""S","57º32'50.402""W"
Oficial,11,Central,Itauguá,ESCUELA BÁSICA N° 707 ITAUGUÁ,175,164,153,151,162,145,"25º23'43.267""S","57º21'3.232""W"
Oficial,13,Amambay,Pedro Juan Caballero,ESCUELA BÁSICA N° 458 MARISCAL FRANCISCO SOLANO LÓPEZ - ANEXA AL CENTRO REGIONAL DE EDUCACIÓN DR. RAÚL PEÑA,141,143,157,168,157,150,"22º32'48.871""S","55º44'29.815""W"
Oficial,11,Central,Ypané,ESCUELA BÁSICA N° 90 PROFESOR MANUEL ANTONIO ENCISO,146,153,153,144,154,165,"25º27'10.741""S","57º30'30.59""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 88 ENRIQUE SOLER,113,145,140,158,173,168,"25º21'23.784""S","57º26'34.321""W"
Oficial,11,Central,Capiatá,ESCUELA BÁSICA N° 603 PDTE. JOHN F. KENNEDY,164,137,133,155,161,147,"25º24'39.68""S","57º29'1.078""W"
Oficial,5,Caaguazú,Dr. Juan Eulogio Estigarribia,ESCUELA BÁSICA N° 727 CRISTO REY,158,139,148,156,143,151,"25º22'29.547""S","55º42'14.703""W"
Oficial,11,Central,Luque,ESCUELA BÁSICA N° 26 GENERAL  JOSÉ ELIZARDO AQUINO,126,128,157,160,157,162,"25º16'15.602""S","57º29'27.723""W"
Oficial,11,Central,Ñemby,ESCUELA BÁSICA N° 1465 PAZ DEL CHACO,141,144,148,150,139,152,"25º25'38.693""S","57º31'57.411""W"
Oficial,10,Alto Paraná,Presidente Franco,ESCUELA BÁSICA N° 1513 JORGE RUBEN PEÑA,148,137,138,135,138,177,"25º33'26.975""S","54º39'34.654""W"
Oficial,13,Amambay,Pedro Juan Caballero,ESCUELA BÁSICA N° 1743 CERRO CORÁ,149,130,143,143,135,135,"22º33'46.739""S","55º44'32.476""W"
Oficial,7,Itapúa,Encarnación,CENTRO REGIONAL DE EDUCACIÓN GENERAL PATRICIO ESCOBAR,126,120,129,142,158,156,"27º20'7.330""S","55º51'58.313""W"
Oficial,11,Central,Limpio,ESCUELA BÁSICA N° 3220 SAN ISIDRO LABRADOR,132,144,140,145,146,123,"25º9'6.364""S","57º27'25.227""W"
Oficial,11,Central,San Lorenzo,CENTRO REGIONAL DE EDUCACIÓN SATURIO RÍOS - ESCUELA ANEXA FRANKLIN DELANO ROOSEVELT,124,134,137,141,139,135,"25º20'54.693""S","57º30'52.877""W"
Oficial,11,Central,Ñemby,ESCUELA BÁSICA N° 2960 MIGUEL ÁNGEL RODRÍGUEZ,121,135,122,135,153,139,"25º22'9.832""S","57º33'56.4""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 1632 AUGUSTO ROA BASTOS,110,130,124,144,146,144,"25º30'58.162""S","54º38'9.815""W"
Oficial,10,Alto Paraná,Ciudad del Este,ESCUELA BÁSICA N° 823 SOLDADO PARAGUAYO,122,115,131,150,139,140,"25º28'12.992""S","54º38'41.361""W"
